bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
105,474,465,392,2.364058322439411,1.9798246805827242,1.9975592352915115,2.82,2.2,0.30000000000000004,2.5628140703517586,0.4522613065326633,0.3517587939698492,"[-0.7632575849401748, -0.6460297543702465, -0.009133208615346599]","[-0.6365062785269554, 0.7494294324248961, 0.18225060551631758]","[0.11089461856671788, -0.14491750164703363, 0.9832096934476002]",0.18652370821873032,0.0013178662108122808,-0.005309720392334325,-0.6469408219662167,65.01357583081966,0.00549251569290198,40.24777283366925,0.10050251256281406
106,566,372,2187,2.4286783405576635,2.0250883725823523,1.9975362535064107,2.1,2.0,0.4,1.4070351758793969,0.5025125628140703,0.3517587939698492,"[-0.7448099354362835, -0.6669244273454161, -0.02167875193335316]","[-0.6472308735239423, 0.7141501466685948, 0.2666116358500871]","[0.16232792869014775, -0.2126061528347984, 0.963560204317277]",0.13034580694827963,0.004555033808851012,0.02559446240349069,-0.6384703389027515,106.0543615574167,0.0024774824863782944,41.85722357984577,0.1507537688442211
107,1204,288,1397,2.366365460295581,1.9799787734393268,1.985058412202217,3.51,2.8000000000000003,0.30000000000000004,3.7688442211055273,0.8040201005025125,0.3517587939698492,"[-0.7417010311144038, -0.670485020240748, -0.018149878142678502]","[-0.6703500232517051, 0.7419201781229015, -0.013612333397329191]","[-0.02259262645795707, -0.00207048951828806, 0.9997426100266437]",0.30642504298699474,0.04381135048900856,0.017633249393369802,-0.6684631553403326,64.7029876681003,0.008381498890616134,42.123480386042296,0.4522613065326633
108,930,436,1197,2.352212445693003,1.966329420181889,1.9920123084223018,3.69,2.8000000000000003,0.30000000000000004,2.7638190954773867,0.40201005025125625,0.5527638190954773,"[-0.771014765098709, -0.6364344453819937, -0.022077788183978892]","[0.15323131101128, -0.2190608123800943, 0.9636039257937556]","[-0.6181071082955988, 0.7395698460664056, 0.26642080523819056]",0.32918550670489194,0.01936757998727421,0.020758544366880384,-0.6880256646067666,66.30320627363444,0.006306876670355747,39.55489847657819,0.1507537688442211
109,850,400,108,2.382633309342232,1.98032228487529,1.9975515423440893,2.16,1.9000000000000001,0.30000000000000004,2.7638190954773867,0.6030150753768844,0.3517587939698492,"[-0.7418999490082265, -0.6704397954278501, -0.009744042705848732]","[-0.6700961008436529, 0.7408521160678012, 0.045927744904299635]","[0.023572893240418072, -0.040603236626205984, 0.9988972398999568]",0.15115662525018755,0.0029707252951642446,-0.007660476511041056,-0.6083659497169749,136.17543588471617,0.02214670534604227,42.10648544818052,0.25125628140703515
110,1205,394,1592,2.3469312689515944,1.9575101619224453,1.9934035604757672,2.25,2.2,0.30000000000000004,2.6633165829145726,0.5527638190954773,0.3517587939698492,"[-0.7567670512095209, -0.6534034693850411, -0.019171238855066074]","[-0.5953803787749524, 0.7010795745434537, -0.39244061299483785]","[-0.2698626220383998, 0.2855719460198458, 0.9195775273858088]",0.20456986444083788,0.013971749721410857,-0.02375341783589569,-0.6668478133813536,95.96592210898784,0.0039406433878795685,40.81998873772794,0.20100502512562812
111,937,438,1196,2.3440042572235082,1.9579048143680735,2.004007582257959,3.57,2.7,0.30000000000000004,2.914572864321608,0.4522613065326633,0.5527638190954773,"[-0.7720919017005464, -0.6351079551759138, -0.02262698832597563]","[0.2697295848671072, -0.3597292246652069, 0.8932193660961384]","[-0.5754303140918561, 0.6835442708369657, 0.44905142626441913]",0.3025775478406787,0.005583278104164037,0.01363849862139676,-0.6708088812716015,54.103697476791815,0.00636008304660162,39.45788676463857,0.10050251256281406
112,419,424,1781,2.3901731975916793,1.9874943780375027,2.005267843151732,2.58,2.2,0.4,5.527638190954773,0.3517587939698492,0.40201005025125625,"[-0.7762271548088109, -0.6300172263532897, -0.023445652806567106]","[0.28261069731921235, -0.38095829677170107, 0.8803419618997798]","[-0.5635624170384034, 0.6767193440555043, 0.4737597824667273]",0.3905304393956365,0.016862482820223502,-0.007771708929525597,-0.6896495391057473,33.23113740195104,0.005359181571937051,39.083576491270264,0.05025125628140703
113,1210,289,1397,2.3519549084925067,1.9750737308843835,1.9870284281337078,3.36,2.7,0.30000000000000004,5.7788944723618085,0.7035175879396984,0.3517587939698492,"[-0.7385799522493741, -0.673931967828202, -0.01775829030396193]","[-0.6739441779453588, 0.7387563640600011, -0.0061870489251270745]","[-0.01728870003403714, -0.007398466060933752, 0.9998231661404321]",0.29387218827811296,0.035947280464282146,0.01226470332320325,-0.6526777790194749,49.94653211547992,0.008368375422475463,42.38941062214729,0.3517587939698492
114,1476,333,626,2.503717564172989,2.056346220795468,2.0182594608583724,0.69,1.2000000000000002,0.30000000000000004,0.8542713567839195,1.2562814070351758,0.5025125628140703,"[-0.7205481982563798, -0.6929751024448646, -0.024409043017171502]","[-0.6930657920937904, 0.7208502144201901, -0.005897134878298039]","[-0.02168183153913949, -0.012667902821514875, 0.9996846614904189]",0.4002345698583995,0.019219948848960975,0.18853626482437527,-0.6875697171908386,520.3647788965469,0.09108640530524674,43.90024073563853,0.7537688442211055
115,575,294,1567,2.425099692025189,2.0156947625709996,1.995675684725801,2.6399999999999997,2.5,0.30000000000000004,3.266331658291457,0.6030150753768844,0.3015075376884422,"[-0.7451683750314682, -0.6666773253751467, -0.016292227705326994]","[-0.6667306276627734, 0.7452938944844529, -0.002698329224041793]","[-0.013941412746396434, -0.008851817600818341, 0.9998636318697647]",0.2978224067900303,0.010863720728500422,0.024264448641387985,-0.6745715929151097,84.20570249583632,0.006942295874038441,41.826436893703466,0.3015075376884422
116,62,580,840,2.1204119387547915,2.0167439830456484,2.004802853996898,2.31,1.9000000000000001,0.30000000000000004,2.0100502512562812,0.5527638190954773,0.3015075376884422,"[-0.76318610440456, -0.6459548964878427, -0.01700710872467449]","[-0.6429292003755126, 0.7564488778431759, 0.1201130239162458]","[0.06472258762052341, -0.10260295762394576, 0.9926145373399093]",0.13759089138717465,-0.006737203006840325,-0.0030469060687197624,-0.6104781255216509,81.81352783400358,0.003963259137254168,40.254111328440416,0.25125628140703515
